episode,worker,steps,avg_wait,total_wait,vehicles,avg_speed,trip_duration
1,0,5000,13.02,65121.0,10035000,12.22,0
2,0,5000,33.42,167111.0,10035000,12.19,0
3,0,4770,23.86,113832.0,9573390,12.17,0
4,0,4889,13.42,65589.0,9812223,12.22,0
5,0,5000,168.17,840837.0,10035000,12.06,0
6,0,5000,461.79,2308966.0,10035000,11.89,0
7,0,4938,142.96,705920.0,9910566,12.04,0
8,0,5000,11.82,59097.0,10035000,12.22,0
9,0,4942,9.23,45590.0,9918594,12.23,0
10,0,5000,18.1,90496.0,10035000,12.19,0
11,0,4573,10.68,48831.0,9178011,12.22,0
12,0,5000,28.22,141115.0,10035000,12.18,0
13,0,5000,252.44,1262179.0,10035000,11.99,0
14,0,5000,330.35,1651770.0,10035000,11.93,0
15,0,5000,14.41,72052.0,10035000,12.21,0
16,0,5000,71.91,359534.0,10035000,12.13,0
17,0,4734,11.01,52131.0,9501138,12.22,0
18,0,4587,12.01,55068.0,9206109,12.21,0
19,0,4988,15.27,76156.0,10010916,12.22,0
20,0,5000,19.04,95219.0,10035000,12.17,0
21,0,4851,54.69,265309.0,9735957,12.11,0
22,0,4916,10.96,53902.0,9866412,12.22,0
23,0,4619,9.54,44088.0,9270333,12.23,0
24,0,4648,14.81,68854.0,9328536,12.2,0
25,0,4895,27.87,136429.0,9824265,12.18,0
26,0,4654,11.0,51202.0,9340578,12.23,0
27,0,4722,15.3,72255.0,9477054,12.2,0
28,0,4742,12.94,61362.0,9517194,12.21,0
29,0,5000,133.04,665198.0,10035000,12.07,0
30,0,5000,10.07,50340.0,10035000,12.23,0
31,0,5000,25.5,127518.0,10035000,12.16,0
32,0,4956,65.12,322729.0,9946692,12.14,0
33,0,5000,159.97,799861.0,10035000,12.05,0
34,0,4759,23.55,112075.0,9551313,12.16,0
35,0,4526,15.4,69693.0,9083682,12.2,0
36,0,4623,136.58,631396.0,9278361,12.02,0
37,0,4863,9.28,45108.0,9760041,12.24,0
